No.;Athlete;Nation;Sport;Years;Games;Gender;Gold;Silver;Bronze;Total
122;Wang Meng;CHN;Short track speed skating;2006–2010;Winter;F;4;1;1;6
122;Katrin Wagner-Augustin;NEM;Canoeing;2000–2012;Summer;F;4;1;1;6
122;Leontien van Moorsel;NLD;Cycling;2000–2004;Summer;F;4;1;1;6
35;Amy Van Dyken;USA;Swimming;1996–2000;Summer;F;6;0;0;6
122;Gunde Svan;SWE;Cross-country skiing;1984–1988;Winter;M;4;1;1;6
35;Lidia Skoblikova;USSR;Speed skating;1960–1964;Winter;F;6;0;0;6
122;Viktor Sidyak;USSR;Fencing;1968–1980;Summer;M;4;1;1;6
65;Don Schollander;USA;Swimming;1964–1968;Summer;M;5;1;0;6
122;Murray Rose;AUS;Swimming;1956–1960;Summer;M;4;1;1;6
72;Steve Redgrave;GBR;Rowing;1984–2000;Summer;M;5;0;1;6
35;Kristin Otto;NEM;Swimming;1988;Summer;F;6;0;0;6
122;Elena Novikova-Belova;USSR;Fencing;1968–1980;Summer;F;4;1;1;6
35;Nedo Nadi;ITA;Fencing;1912–1920;Summer;M;6;0;0;6
65;Ole Lilloe-Olsen;NOR;Shooting;1920–1924;Summer;M;5;1;0;6
65;Katie Ledecky;USA;Swimming;2012–2016;Summer;F;5;1;0;6
72;Alfred Lane;USA;Shooting;1912–1920;Summer;M;5;0;1;6
108;Kevin Kuske;NEM;Bobsleigh;2002–2018;Winter;M;4;2;0;6
158;Győző Kulcsár;HUN;Fencing;1964–1976;Summer;M;4;0;2;6
65;Danuta Kozák;HUN;Canoeing;2008–2016;Summer;F;5;1;0;6
108;Janica Kostelić;HRV;Alpine skiing;2002–2006;Winter;F;4;2;0;6
108;Olga Korbut;USSR;Gymnastics;1972–1976;Summer;F;4;2;0;6
65;Nellie Kim;USSR;Gymnastics;1976–1980;Summer;F;5;1;0;6
122;Kim Soo-Nyung;KOR;Archery;1988–2000;Summer;F;4;1;1;6
35;Rudolf Kárpáti;HUN;Fencing;1948–1960;Summer;M;6;0;0;6
108;Jin Jong-oh;KOR;Shooting;2004–2016;Summer;M;4;2;0;6
122;Doina Ignat;ROU;Rowing;1992–2008;Summer;F;4;1;1;6
65;Anton Heida;USA;Gymnastics;1904;Summer;M;5;1;0;6
108;Guo Jingjing;CHN;Diving;2000–2008;Summer;F;4;2;0;6
